"name","solvedCount","contestId","index"
"Did you mean...","855","860","A"
"Polycarp's phone book","721","860","B"
"Tests Renumeration","301","860","C"
"Wizard's Tour","618","860","D"
"Arkady and a Nobody-men","421","860","E"
"k-rounding","3309","861","A"
"Which floor?","1966","861","B"
"Did you mean...","1896","861","C"
"Polycarp's phone book","1266","861","D"
"Tests Renumeration","90","861","E"
"Wizard's Tour","142","861","F"
"Declined Finalists","6810","859","A"
"Lazy Security Guard","5907","859","B"
"Pie Rules","4590","859","C"
"Third Month Insanity","887","859","D"
"Desk Disorder","1599","859","E"
"Ordering T-Shirts","178","859","F"
"Circle of Numbers","150","859","G"
"Set Theory","259","856","A"
"Similar Words","85","856","B"
"Eleventh Birthday","57","856","C"
"Masha and Cactus","48","856","D"
"Satellites","5","856","E"
"To Play or not to Play","3","856","F"
"Planning","2190","853","A"
"Jury Meeting","1281","853","B"
"Boredom","1053","853","C"
"Michael and Charging Stations","634","853","D"
"Lada Malina","65","853","E"
"Fraction","12208","854","A"
"Maxim Buys an Apartment","7792","854","B"
"Planning","3557","854","C"
"Jury Meeting","1209","854","D"
"Boredom","374","854","E"
"Curriculum Vitae","1505","846","A"
"Math Show","810","846","B"
"Four Segments","617","846","C"
"Monitor","432","846","D"
"Chemistry in Berland","112","846","E"
"Random Query","378","846","F"
"Five Dimensional Points","1202","850","A"
"Arpa and a list of numbers","1212","850","B"
"Arpa and a game with Mojtaba","1064","850","C"
"Tournament Construction","366","850","D"
"Random Elections","371","850","E"
"Rainbow Balls","631","850","F"
"Arpa and a research in Mexican wave","8988","851","A"
"Arpa and an exam about geometry","4897","851","B"
"Five Dimensional Points","1783","851","C"
"Arpa and a list of numbers","735","851","D"
"Arpa and a game with Mojtaba","308","851","E"
"Digits","69","852","A"
"Neural Network country","219","852","B"
"Property","87","852","C"
"Exploration plan","113","852","D"
"Casinos and travel","174","852","E"
"Product transformation","130","852","F"
"Bathroom terminal","344","852","G"
"Bob and stages","12","852","H"
"Dating","86","852","I"
"From Y to Y","2034","848","A"
"Rooter's Song","1302","848","B"
"Goodbye Souvenir","1161","848","C"
"Shake It!","376","848","D"
"Days of Floral Colours","202","848","E"
"Odds and Ends","8459","849","A"
"Tell Your World","3309","849","B"
"From Y to Y","2882","849","C"
"Rooter's Song","482","849","D"
"Goodbye Souvenir","138","849","E"
"Kirill And The Game","8817","842","A"
"Gleb And Pizza","8716","842","B"
"Ilya And The Tree","3379","842","C"
"Vitya and Strange Lesson","3143","842","D"
"Nikita and game","387","842","E"
"Sorting by Subsequences","2359","843","A"
"Interactive LowerBound","1301","843","B"
"Upgrading Tree","287","843","C"
"Dynamic Shortest Path","729","843","D"
"Maximum Flow","275","843","E"
"Diversity","9361","844","A"
"Rectangles","5971","844","B"
"Sorting by Subsequences","2926","844","C"
"Interactive LowerBound","753","844","D"
"Upgrading Tree","48","844","E"
"Chess Tourney","2956","845","A"
"Luba And The Ticket","1597","845","B"
"Two TVs","1741","845","C"
"Driving Test","745","845","D"
"Fire in the City","56","845","E"
"Guards In The Storehouse","18","845","F"
"Shortest Path Problem?","136","845","G"
"Leha and Function","2269","840","A"
"Leha and another game about graph","1556","840","B"
"On the Bench","1510","840","C"
"Destiny","2674","840","D"
"In a Trap","444","840","E"
"Generous Kefa","12309","841","A"
"Godsend","11106","841","B"
"Leha and Function","4635","841","C"
"Leha and another game about graph","699","841","D"
"On the Bench","147","841","E"
"Arya and Bran","13330","839","A"
"Game of the Rows","3233","839","B"
"Journey","15118","839","C"
"Winter is here","2682","839","D"
"Mother of Dragons","881","839","E"
"Binary Blocks","285","838","A"
"Diverging Directions","58","838","B"
"Future Failure","2","838","C"
"Airplane Arrangements","10","838","D"
"Convex Countour","42","838","E"
"Expected Earnings","1","838","F"
"Text Volume","3187","837","A"
"Flag of Berland","1329","837","B"
"Two Seals","1511","837","C"
"Round Subset","313","837","D"
"Vasya's Function","229","837","E"
"Prefix Sums","71","837","F"
"Functions On The Segments","32","837","G"
"Key races","18730","835","A"
"The number on the board","10263","835","B"
"Star sky","7248","835","C"
"Palindromic characteristics","3836","835","D"
"The penguin's game","1058","835","E"
"Roads in the Kingdom","1010","835","F"
"The Meaningless Game","2446","833","A"
"The Bakery","3398","833","B"
"Ever-Hungry Krakozyabra","395","833","C"
"Red-Black Cobweb","382","833","D"
"Caramel Clouds","216","833","E"
"The Useless Toy","8195","834","A"
"The Festive Evening","8096","834","B"
"The Meaningless Game","3590","834","C"
"The Bakery","1134","834","D"
"Ever-Hungry Krakozyabra","72","834","E"
"Sasha and Sticks","18776","832","A"
"Petya and Exam","4246","832","B"
"Strange Radiation","419","832","C"
"Misha, Grisha and Underground","3430","832","D"
"Vasya and Shifts","310","832","E"
"Binary Protocol","2622","825","A"
"Five-In-a-Row","1348","825","B"
"Multi-judge Solving","1473","825","C"
"Suitable Replacement","1034","825","D"
"Minimal Labels","204","825","E"
"String Compression","77","825","F"
"Tree Queries","27","825","G"
"Office Keys","3353","830","A"
"Cards Sorting","1741","830","B"
"Bamboo Partition","991","830","C"
"Singer House","773","830","D"
"Perpetual Motion Machine","263","830","E"
"Unimodal Array","9718","831","A"
"Keyboard Layouts","13330","831","B"
"Jury Marks","4330","831","C"
"Office Keys","2029","831","D"
"Cards Sorting","993","831","E"
"Bamboo Partition","163","831","F"
"String Reconstruction","1806","827","A"
"High Load","1687","827","B"
"DNA Evolution","1115","827","C"
"Best Edge Weight","939","827","D"
"Rusty String","719","827","E"
"Dirty Arkady's Kitchen","385","827","F"
"Restaurant Tables","7100","828","A"
"Black Square","5348","828","B"
"String Reconstruction","2027","828","C"
"High Load","1569","828","D"
"DNA Evolution","398","828","E"
"Best Edge Weight","126","828","F"
"High Load","20","823","A"
"DNA Evolution","19","823","B"
"Bamboo Partition","15","823","C"
"Rusty String","5","823","D"
"Singer House","5","823","E"
"Perpetual Motion Machine","2","823","F"
"Dirty Arkady's Kitchen","0","823","G"
"I'm bored with life","28606","822","A"
"Crossword solving","8966","822","B"
"Hacker, pack your bags!","4437","822","C"
"My pretty girl Noora","2922","822","D"
"Liar","763","822","E"
"Madness","284","822","F"
"Diplomas and Certificates","2618","818","A"
"Permutation Game","1093","818","B"
"Sofa Thief","387","818","C"
"Multicolored Cars","938","818","D"
"Card Game Again","339","818","E"
"Level Generation","148","818","F"
"Four Melodies","35","818","G"
"Mister B and Boring Game","216","819","A"
"Mister B and PR Shifts","1024","819","B"
"Mister B and Beacons on Field","176","819","C"
"Mister B and Astronomers","214","819","D"
"Mister B and Flight to the Moon","484","819","E"
"Mister B and Book Reading","7670","820","A"
"Mister B and Angle in Polygon","4735","820","B"
"Mister B and Boring Game","155","820","C"
"Mister B and PR Shifts","597","820","D"
"Mister B and Beacons on Field","38","820","E"
"Okabe and Future Gadget Laboratory","7598","821","A"
"Okabe and Banana Trees","5398","821","B"
"Okabe and Boxes","5883","821","C"
"Okabe and City","1290","821","D"
"Okabe and El Psy Kongroo","1377","821","E"
"Karen and Game","2303","815","A"
"Karen and Test","919","815","B"
"Karen and Supermarket","2087","815","C"
"Karen and Cards","578","815","D"
"Karen and Neighborhood","219","815","E"
"Karen and Morning","8432","816","A"
"Karen and Coffee","14424","816","B"
"Karen and Game","3202","816","C"
"Karen and Test","447","816","D"
"Karen and Supermarket","409","816","E"
"Treasure Hunt","1979","817","A"
"Makes And The Product","1379","817","B"
"Really Big Numbers","1019","817","C"
"Imbalanced Array","441","817","D"
"Choosing The Commander","279","817","E"
"MEX Queries","81","817","F"
"An abandoned sentiment from past","9861","814","A"
"An express train to reveries","5451","814","B"
"An impassioned circulation of affection","6193","814","C"
"An overnight dance in discotheque","1980","814","D"
"An unavoidable detour for home","634","814","E"
"The Contest","2110","813","A"
"The Golden Age","808","813","B"
"The Tag Game","936","813","C"
"Two Melodies","49","813","D"
"Army Creation","130","813","E"
"Bipartite Checking","32","813","F"
"Sagheer and Crossroads","5907","812","A"
"Sagheer, the Hausmeister","4743","812","B"
"Sagheer and Nubian Market","11391","812","C"
"Sagheer and Kindergarten","313","812","D"
"Sagheer and Apple Tree","974","812","E"
"Heidi and Library (easy)","271","802","A"
"Heidi and Library (medium)","213","802","B"
"Heidi and Library (hard)","23","802","C"
"Marmots (easy)","118","802","D"
"Marmots (medium)","59","802","E"
"Marmots (hard)","17","802","F"
"Fake News (easy)","729","802","G"
"Fake News (medium)","58","802","H"
"Fake News (hard)","61","802","I"
"Send the Fool Further! (easy)","431","802","J"
"Send the Fool Further! (medium)","108","802","K"
"Send the Fool Further! (hard)","18","802","L"
"April Fools' Problem (easy)","605","802","M"
"April Fools' Problem (medium)","55","802","N"
"April Fools' Problem (hard)","5","802","O"
"Vladik and Courtesy","11097","811","A"
"Vladik and Complicated Book","6121","811","B"
"Vladik and Memorable Trip","3092","811","C"
"Vladik and Favorite Game","1473","811","D"
"Vladik and Entertaining Flags","815","811","E"
"Do you want a date?","1894","809","A"
"Glad to see you!","954","809","B"
"Find a car","659","809","C"
"Hitchhiking in the Baltic States","766","809","D"
"Surprise me!","722","809","E"
"Straight <<A>>","8237","810","A"
"Summer sell-off","10630","810","B"
"Do you want a date?","2707","810","C"
"Glad to see you!","501","810","D"
"Find a car","78","810","E"
"Lucky Year","2720","808","A"
"Average Sleep Time","1963","808","B"
"Tea Party","1577","808","C"
"Array Division","718","808","D"
"Selling Souvenirs","169","808","E"
"Card Game","55","808","F"
"Anthem of Berland","86","808","G"
"Bank Robbery","6385","794","A"
"Cutting Carrot","5555","794","B"
"Naming Company","2961","794","C"
"Labelling Cities","726","794","D"
"Choosing Carrot","634","794","E"
"Leha and security system","653","794","F"
"Replace All","326","794","G"
"Carrot Cakes","17645","799","A"
"T-shirt buying","7773","799","B"
"Fountains","3476","799","C"
"Field expansion","1898","799","D"
"Aquarium decoration","876","799","E"
"Beautiful fountains rows","419","799","F"
"Cut the pie","106","799","G"
"Success Rate","790","806","A"
"Dynamic Problem Scoring","439","806","B"
"Prairie Partition","447","806","C"
"Perishable Roads","241","806","D"
"Blog Post Rating","99","806","E"
"Test Data Generation","31","806","F"
"Is it rated?","17187","807","A"
"T-Shirt Hunt","3461","807","B"
"Success Rate","2342","807","C"
"Dynamic Problem Scoring","400","807","D"
"Prairie Partition","166","807","E"
"Perishable Roads","29","807","F"
"Success Rate","985","773","A"
"Dynamic Problem Scoring","241","773","B"
"Prairie Partition","267","773","C"
"Perishable Roads","295","773","D"
"Blog Post Rating","239","773","E"
"Test Data Generation","161","773","F"
"Find Amir","7541","804","A"
"Minimum number of steps","4385","804","B"
"Ice cream coloring","1102","804","C"
"Expected diameter of a tree","1058","804","D"
"The same permutation ","408","804","E"
"Fake bullions","139","804","F"
"Fake NP","15808","805","A"
"3-palindrome","14545","805","B"
"Find Amir","7239","805","C"
"Minimum number of steps","4798","805","D"
"Ice cream coloring","562","805","E"
"Expected diameter of a tree","184","805","F"
"Maximal Binary Matrix","1519","803","A"
"Distances to Zero","1967","803","B"
"Maximal GCD","738","803","C"
"Magazine Ad","649","803","D"
"Roma and Poker","316","803","E"
"Coprime Subsequences","283","803","F"
"Periodic RMQ Problem","61","803","G"
"Oleg and shares","6143","793","A"
"Igor and his way to work","3791","793","B"
"Mice problem","1188","793","C"
"Presents in Bankopolis","1532","793","D"
"Problem of offices","242","793","E"
"Julia the snail","510","793","F"
"Oleg and chess","315","793","G"
"Mike and palindrome","19050","798","A"
"Mike and strings","7802","798","B"
"Mike and gcd problem","5339","798","C"
"Mike and distribution","1826","798","D"
"Mike and code of a permutation","457","798","E"
"Voltage Keepsake","682","800","A"
"Volatile Kite","627","800","B"
"Vulnerable Kerbals","416","800","C"
"Varying Kibibits","283","800","D"
"Verifying Kingdom","35","800","E"
"Vicious Keyboard","6753","801","A"
"Valued Keys","9302","801","B"
"Voltage Keepsake","2013","801","C"
"Volatile Kite","1032","801","D"
"Vulnerable Kerbals","152","801","E"
"Voltage Keepsake","1278","772","A"
"Volatile Kite","901","772","B"
"Vulnerable Kerbals","535","772","C"
"Varying Kibibits","279","772","D"
"Verifying Kingdom","96","772","E"
"k-Factorization","2245","797","A"
"Odd sum","1708","797","B"
"Minimal string","857","797","C"
"Broken BST","284","797","D"
"Array Queries","405","797","E"
"Mice and Holes","32","797","F"
"Buying A House","11935","796","A"
"Find The Bone","8729","796","B"
"Bank Hacking","2890","796","C"
"Police Stations","4854","796","D"
"Exam Cheating","627","796","E"
"Sequence Recovery","166","796","F"
"Amusement Park","8","774","A"
"Significant Cups","26","774","B"
"Maximum Number","299","774","C"
"Lie or Truth","247","774","D"
"Big Number and Remainder","6","774","E"
"Pens And Days Of Week","3","774","F"
"Perfectionist Arkadiy","1","774","G"
"Repairing Of String","18","774","H"
"Composing Of String","6","774","I"
"Stepan's Series","56","774","J"
"Stepan and Vowels","215","774","K"
"Bars","41","774","L"
"Amusement Park","99","795","A"
"Significant Cups","41","795","B"
"Maximum Number","790","795","C"
"Lie or Truth","462","795","D"
"Big Number and Remainder","43","795","E"
"Pens And Days Of Week","3","795","F"
"Perfectionist Arkadiy","1","795","G"
"Repairing Of String","19","795","H"
"Composing Of String","9","795","I"
"Stepan's Series","31","795","J"
"Stepan and Vowels","296","795","K"
"Bars","22","795","L"
"Numbers Joke","865","784","A"
"Kids' Riddle","215","784","B"
"INTERCALC","144","784","C"
"Touchy-Feely Palindromes","80","784","D"
"Twisted Circuit","564","784","E"
"Crunching Numbers Just for You","265","784","F"
"BF Calculator","381","784","G"
"Functions again","5062","788","A"
"Weird journey","1560","788","B"
"The Great Mixing","1529","788","C"
"Finding lines","362","788","D"
"New task","331","788","E"
"Anastasia and pebbles","8865","789","A"
"Masha and geometric depression","4268","789","B"
"Functions again","3560","789","C"
"Weird journey","754","789","D"
"The Great Mixing","462","789","E"
"New Bus Route","3016","792","A"
"Counting-out Rhyme","2265","792","B"
"Divide by Three","552","792","C"
"Paths in a Complete Binary Tree","648","792","D"
"Colored Balls","71","792","E"
"Mages and Monsters","1","792","F"
"Berzerk","1509","786","A"
"Legacy","4828","786","B"
"Till I Collapse","2166","786","C"
"Rap God","137","786","D"
"ALT","598","786","E"
"The Monster","10456","787","A"
"Not Afraid","5386","787","B"
"Berzerk","861","787","C"
"Legacy","677","787","D"
"Till I Collapse","313","787","E"
"Bear and Different Names","784","790","A"
"Bear and Tree Jumps","652","790","B"
"Bear and Company","360","790","C"
"Bear and Rectangle Strips","101","790","D"
"Bear and Isomorphic Points","23","790","E"
"Bear and Big Brother","169826","791","A"
"Bear and Friendship Condition","4947","791","B"
"Bear and Different Names","2970","791","C"
"Bear and Tree Jumps","642","791","D"
"Bear and Company","156","791","E"
"Bear and Friendship Condition","8047","771","A"
"Bear and Different Names","2284","771","B"
"Bear and Tree Jumps","1366","771","C"
"Bear and Company","573","771","D"
"Bear and Rectangle Strips","350","771","E"
"Bear and Isomorphic Points","57","771","F"
"Anton and Polyhedrons","79216","785","A"
"Anton and Classes","9745","785","B"
"Anton and Fairy Tale","6856","785","C"
"Anton and School - 2","2604","785","D"
"Anton and Permutation","1806","785","E"
"New Password","18171","770","A"
"Maximize Sum of Digits","2227","770","B"
"Online Courses In BSU","2136","770","C"
"Draw Brackets!","1071","770","D"
"Andryusha and Colored Balloons","1311","781","A"
"Innokenty and a Football League","915","781","B"
"Underground Lab","1212","781","C"
"Axel and Marston in Bitland","541","781","D"
"Andryusha and Nervous Barriers","291","781","E"
"Intranet of Buses","42","781","F"
"Andryusha and Socks","9697","782","A"
"The Meeting Place Cannot Be Changed","5918","782","B"
"Andryusha and Colored Balloons","2944","782","C"
"Innokenty and a Football League","1039","782","D"
"Underground Lab","450","782","E"
"Axel and Marston in Bitland","110","782","F"
"Andryusha and Socks","5451","780","A"
"The Meeting Place Cannot Be Changed","2336","780","B"
"Andryusha and Colored Balloons","4350","780","C"
"Innokenty and a Football League","739","780","D"
"Underground Lab","645","780","E"
"Axel and Marston in Bitland","388","780","F"
"Andryusha and Nervous Barriers","355","780","G"
"Intranet of Buses","77","780","H"
"Year of University Entrance","4458","769","A"
"News About Credit","2334","769","B"
"Cycle In Maze","1800","769","C"
"k-Interesting Pairs Of Integers","1850","769","D"
"String Game","5882","778","A"
"Bitwise Formula","1316","778","B"
"Peterson Polyglot","778","778","C"
"Parquet Re-laying","475","778","D"
"Selling Numbers","303","778","E"
"Pupils Redistribution","8775","779","A"
"Weird Rounding","9787","779","B"
"Dishonest Sellers","10777","779","C"
"String Game","4291","779","D"
"Bitwise Formula","837","779","E"
"Peterson Polyglot","101","779","F"
"Shell Game","9550","777","A"
"Game of Credit Cards","8791","777","B"
"Alyona and Spreadsheet","5986","777","C"
"Cloud of Hashtags","4567","777","D"
"Hanoi Factory","3614","777","E"
"A Serial Killer","11069","776","A"
"Sherlock and his girlfriend","18235","776","B"
"Molly's Chemicals","5498","776","C"
"The Door Problem","4282","776","D"
"The Holmes Children","1918","776","E"
"Sherlock's bet to Moriarty","413","776","F"
"Sherlock and the Encrypted Data","327","776","G"
"Oath of the Night's Watch","23992","768","A"
"Code For 1","5567","768","B"
"Jon Snow and his Favourite Number","3612","768","C"
"Jon and Orbs","2677","768","D"
"Game of Stones","2559","768","E"
"Barrels and boxes","929","768","F"
"The Winds of Winter","353","768","G"
"Snacktower","17188","767","A"
"The Queue","2084","767","B"
"Garland","3846","767","C"
"Cartons of milk","1996","767","D"
"Change-free","925","767","E"
"Neverending competitions","8491","765","A"
"Code obfuscation","6595","765","B"
"Table Tennis Game 2","6578","765","C"
"Artsem and Saunders","2374","765","D"
"Tree Folding","1225","765","E"
"Souvenirs","1910","765","F"
"Math, math everywhere","83","765","G"
"Mahmoud and Longest Uncommon Subsequence","25855","766","A"
"Mahmoud and a Triangle","28059","766","B"
"Mahmoud and a Message","4202","766","C"
"Mahmoud and a Dictionary","3116","766","D"
"Mahmoud and a xor trip","2640","766","E"
"Timofey and a tree","6418","763","A"
"Timofey and rectangles","1565","763","B"
"Timofey and remoduling","598","763","C"
"Timofey and a flat tree","498","763","D"
"Timofey and our friends animals","456","763","E"
"Taymyr is calling you","15045","764","A"
"Timofey and cubes","11211","764","B"
"Timofey and a tree","3452","764","C"
"Timofey and rectangles","974","764","D"
"Timofey and remoduling","116","764","E"
"Dasha and Stairs","13583","761","A"
"Dasha and friends","6580","761","B"
"Dasha and Password","5578","761","C"
"Dasha and Very Difficult Problem","3844","761","D"
"Dasha and Puzzle","1828","761","E"
"Dasha and Photos","402","761","F"
"k-th divisor","2134","762","A"
"USB vs. PS/2","2079","762","B"
"Two strings","395","762","C"
"Maximum path","156","762","D"
"Radio stations","104","762","E"
"Tree nesting","8","762","F"
"Pavel and barbecue","738","756","A"
"Travel Card","1450","756","B"
"Nikita and stack","528","756","C"
"Bacterial Melee","597","756","D"
"Byteland coins","132","756","E"
"Long number","74","756","F"
"Pavel and barbecue","688","759","A"
"Travel Card","666","759","B"
"Nikita and stack","481","759","C"
"Bacterial Melee","310","759","D"
"Byteland coins","35","759","E"
"Long number","23","759","F"
"Petr and a calendar","7470","760","A"
"Frodo and pillows","5435","760","B"
"Pavel and barbecue","1538","760","C"
"Travel Card","1084","760","D"
"Nikita and stack","263","760","E"
"Bacterial Melee","100","760","F"
"Holiday Of Equality","54656","758","A"
"Blown Garland","9747","758","B"
"Unfair Poll","3661","758","C"
"Ability To Convert","2636","758","D"
"Broken Tree","434","758","E"
"Geometrical Progression","612","758","F"
"PolandBall and Hypothesis","15906","755","A"
"PolandBall and Game","8517","755","B"
"PolandBall and Forest","10765","755","C"
"PolandBall and Polygon","2398","755","D"
"PolandBall and White-Red graph","761","755","E"
"PolandBall and Gifts","1234","755","F"
"PolandBall and Many Other Balls","806","755","G"
"Gotta Catch Em' All!","10714","757","A"
"Bash's Big Day","9116","757","B"
"Felicity is Coming!","2234","757","C"
"Felicity's Big Secret Revealed","1252","757","D"
"Bash Plays with Functions","1219","757","E"
"Team Rocket Rises Again","1076","757","F"
"Can Bash Save the Day?","480","757","G"
"Lesha and array splitting","8213","754","A"
"Ilya and tic-tac-toe game","7022","754","B"
"Vladik and chat","904","754","C"
"Fedor and coupons","2159","754","D"
"Dasha and cyclic table","473","754","E"
"New Year and Hurry","67519","750","A"
"New Year and North Pole","8998","750","B"
"New Year and Rating","6254","750","C"
"New Year and Fireworks","3017","750","D"
"New Year and Old Subsequence","1456","750","E"
"New Year and Finding Roots","477","750","F"
"New Year and Binary Tree Paths","444","750","G"
"New Year and Snowy Grid","189","750","H"
"Santa Claus and Candies","7733","753","A"
"Interactive Bulls and Cows (Easy)","1035","753","B"
"Interactive Bulls and Cows (Hard)","286","753","C"
"Santa Claus and a Place in a Class","4330","752","A"
"Santa Claus and Keyboard Check","2903","752","B"
"Santa Claus and Robot","2711","752","C"
"Santa Claus and a Palindrome","1161","752","D"
"Santa Claus and Tangerines","907","752","E"
"Santa Clauses and a Soccer Championship","345","752","F"
"Santa Claus and a Place in a Class","3919","748","A"
"Santa Claus and Keyboard Check","2106","748","B"
"Santa Claus and Robot","1648","748","C"
"Santa Claus and a Palindrome","650","748","D"
"Santa Claus and Tangerines","585","748","E"
"Santa Clauses and a Soccer Championship","276","748","F"
"Оценки Васи","276","751","A"
"Путь Поликарпа","149","751","B"
"Bachgold Problem","41472","749","A"
"Parallelogram is Back","7557","749","B"
"Voting","5393","749","C"
"Leaving Auction","2356","749","D"
"Inversions After Shuffle","997","749","E"
"Display Size","8809","747","A"
"Mammoth's Genome Decoding","7492","747","B"
"Servers","4332","747","C"
"Winter Is Coming","2771","747","D"
"Comments","1827","747","E"
"Igor and Interesting Numbers","406","747","F"
"Compote","18281","746","A"
"Decoding","23721","746","B"
"Tram","3529","746","C"
"Green and Black Tea","4747","746","D"
"Numbers Exchange","1640","746","E"
"Music in Car","693","746","F"
"New Roads","1304","746","G"
"Hongcow Builds A Nation","4595","744","A"
"Hongcow's Game","1178","744","B"
"Hongcow Buys a Deck of Cards","835","744","C"
"Hongcow Draws a Circle","121","744","D"
"Hongcow Masters the Cyclic Shift","136","744","E"
"Hongcow Learns the Cyclic Shift","9072","745","A"
"Hongcow Solves A Puzzle","3580","745","B"
"Hongcow Builds A Nation","2819","745","C"
"Hongcow's Game","455","745","D"
"Hongcow Buys a Deck of Cards","169","745","E"
"Vladik and flights","10344","743","A"
"Chloe and the sequence ","12933","743","B"
"Vladik and fractions","11327","743","C"
"Chloe and pleasant prizes","4042","743","D"
"Vladik and cards","1467","743","E"
"Arpa's loud Owf and Mehrdad's evil plan","2222","741","A"
"Arpa's weak amphitheater and Mehrdad's valuable Hoses","2754","741","B"
"Arpa’s overnight party and Mehrdad’s silent entering","1857","741","C"
"Arpa’s letter-marked tree and Mehrdad’s Dokhtar-kosh paths","2460","741","D"
"Arpa’s abnormal DNA and Mehrdad’s deep interest","176","741","E"
"Arpa’s hard exam and Mehrdad’s naive cheat","36929","742","A"
"Arpa’s obvious problem and Mehrdad’s terrible solution","8613","742","B"
"Arpa's loud Owf and Mehrdad's evil plan","3165","742","C"
"Arpa's weak amphitheater and Mehrdad's valuable Hoses","2201","742","D"
"Arpa’s overnight party and Mehrdad’s silent entering","533","742","E"
"Tennis Championship","1164","736","A"
"Taxes","1386","736","B"
"Ostap and Tree","389","736","C"
"Permutations","449","736","D"
"Chess Championship","180","736","E"
"Ostap and Grasshopper","11559","735","A"
"Urbanization","8030","735","B"
"Tennis Championship","5919","735","C"
"Taxes","10697","735","D"
"Ostap and Tree","475","735","E"
"Alyona and mex","3135","739","A"
"Alyona and a tree","3154","739","B"
"Alyona and towers","1179","739","C"
"Recover a functional graph","180","739","D"
"Gosha is hunting","2063","739","E"
"Alyona and copybooks","8453","740","A"
"Alyona and flowers","7789","740","B"
"Alyona and mex","4310","740","C"
"Alyona and a tree","1226","740","D"
"Alyona and towers","182","740","E"
"Road to Cinema","721","737","A"
"Sea Battle","679","737","B"
"Subordinates","689","737","C"
"Financiers Game","386","737","D"
"Tanya is 5!","121","737","E"
"Dirty plates","71","737","F"
