name,solvedCount,contestId,index,rating
Balanced Unshuffle (Hard),377,1970,A3,2400
Balanced Unshuffle (Medium),376,1970,A2,2400
Balanced Shuffle (Easy),3360,1970,A1,1000
Card Pairing,178,1969,F,3000
Unique Array,1118,1969,E,2400
Shop Game,3872,1969,D,1900
Minimizing the Sum,7184,1969,C,1700
Shifts and Sorting,16588,1969,B,1000
Two Friends,18115,1969,A,800
Division + LCP (hard version),1635,1968,G2,2200
Division + LCP (easy version),3633,1968,G1,1900
Equal XOR Segments,4675,1968,F,1800
Cells Arrangement,9072,1968,E,1600
Permutation Game,13226,1968,D,1300
Assembly via Remainders,22147,1968,C,1000
Prefiquence,25575,1968,B,800
Maximize?,30429,1968,A,800
Next and Prev,49,1967,F,3200
Again Counting Arrays (Hard Version),81,1967,E2,3500
Again Counting Arrays (Easy Version),164,1967,E1,3100
Long Way to be Non-decreasing,525,1967,D,2800
Fenwick Tree,1452,1967,C,2300
Reverse Card (Hard Version),3456,1967,B2,2200
Reverse Card (Easy Version),11542,1967,B1,1400
Permutation Counting,10756,1967,A,1400
Rectangle Filling,13313,1966,B,1100
Card Exchange,16244,1966,A,800
Conference,124,1965,F,3300
Connected Cubes,206,1965,E,3100
Missing Subarray Sum,313,1965,D,2900
Folding Strip,1600,1965,C,2300
Missing Subsequence Sum,5769,1965,B,1800
Everything Nim,11766,1965,A,1400
Necromancer,19,1958,J,3200
Equal Trees,25,1958,I,3100
Composite Spells,68,1958,H,2600
Observation Towers,95,1958,G,2400
Narrow Paths,162,1958,F,2000
Yet Another Permutation Constructive,220,1958,E,1900
Staircase,405,1958,D,1600
Firewood,555,1958,C,1500
Clock in the Pool,717,1958,B,1400
1-3-5,1284,1958,A,1100
Frequency Mismatch (Hard Version),333,1957,F2,2700
Frequency Mismatch (Easy Version),390,1957,F1,2600
Carousel of Combinations,1094,1957,E,2400
A BIT of an Inequality,3991,1957,D,1900
How Does the Rook Move?,8479,1957,C,1600
A BIT of a Construction,16354,1957,B,1100
Stickogon,21543,1957,A,800
Nene and the Passing Game,299,1956,F,3000
Nene vs. Monsters (Hard Version),734,1956,E2,2700
Nene vs. Monsters (Easy Version),1319,1956,E1,2500
Nene and the Mex Operator,3491,1956,D,2000
Nene's Magical Matrix,11631,1956,C,1600
Nene and the Card Game,19986,1956,B,800
Nene's Game,20167,1956,A,800
The Most Reckless Defense,1109,1955,H,2300
GCD on a grid,3883,1955,G,1900
Unfair Game,6343,1955,F,1800
Long Inversions,7739,1955,E,1700
Inaccurate Subsequence Search,13839,1955,D,1400
Inhabitant of the Deep Sea,19239,1955,C,1300
Progressive Square,25451,1955,B,1000
Yogurt Sale,39206,1955,A,800
Unique Strings,227,1954,F,3100
Chain Reaction,1960,1954,E,2200
Colored Balls,5364,1954,D,1800
Long Multiplication,17359,1954,C,1200
Make It Ugly,16800,1954,B,1200
Painting the Ribbon,21923,1954,A,900
Growing Trees,70,1951,I,3200
Thanos Snap,227,1951,H,3200
Clacking Balls,284,1951,G,3100
Inversion Composition,693,1951,F,2500
No Palindromes,3247,1951,E,2000
Buying Jewels,5015,1951,D,2000
Ticket Hoarding,10481,1951,C,1400
Battle Cows,13201,1951,B,1200
Dual Trigger,17955,1951,A,900
Shuffling Songs,3814,1950,G,1900
"0, 1, 2, Tree!",8220,1950,F,1700
Nearly Shortest Repeating Substring,12971,1950,E,1500
Product of Binary Decimals,21465,1950,D,1100
Clock Conversion,36832,1950,C,800
Upscaling,35145,1950,B,800
"Stair, Peak, or Neither?",46706,1950,A,800
Make Triangle,262,1949,K,2800
Amanda the Amoeba,334,1949,J,2600
Disks,1374,1949,I,1800
Division Avoidance,78,1949,H,3100
Scooter,675,1949,G,2300
Dating,826,1949,F,2200
Damage per Second,89,1949,E,2900
Funny or Scary?,321,1949,D,2600
Annual Ants' Gathering,1395,1949,C,1900
Charming Meals,2385,1949,B,1500
Grove,94,1949,A,3300
MST with Matching,653,1948,G,3100
Rare Coins,1192,1948,F,2500
Clique Partition,2737,1948,E,2100
Tandem Repeats?,8586,1948,D,1700
Arrow Path,15253,1948,C,1300
Array Fix,21325,1948,B,1100
Special Characters,27149,1948,A,800
Nobody is needed,820,1946,F,2500
Girl Permutation,2220,1946,E,2200
Birthday Gift,4265,1946,D,1900
Tree Cutting,9675,1946,C,1600
Maximum Sum,18880,1946,B,1100
Median of an Array,24642,1946,A,800
GCD is Greater,550,1945,H,2600
Cook and Porridge,671,1945,G,2500
Kirill and Mushrooms,3791,1945,F,1900
Binary Search,7394,1945,E,1700
Seraphim the Owl,13050,1945,D,1300
Left and Right Houses,13689,1945,C,1200
Fireworks,20884,1945,B,900
Setting up Camp,25992,1945,A,800
Equal XOR,15060,1944,B,1100
Destroying Bridges,22181,1944,A,800
Minimum Hamming Distance,89,1943,F,3500
MEX Game 2 (Hard Version),260,1943,E2,3300
MEX Game 2 (Easy Version),391,1943,E1,2900
Counting Is Fun (Hard Version),640,1943,D2,2800
Counting Is Fun (Easy Version),1316,1943,D1,2400
Tree Compass,1893,1943,C,2300
Non-Palindromic Substring,3491,1943,B,2000
MEX Game 1,16253,1943,A,1300
Farmer John's Favorite Intern,72,1942,H,3500
Bessie and Cards,399,1942,G,2800
Farmer John's Favorite Function,613,1942,F,2700
Farm Game,1525,1942,E,2300
Learning to Paint,2559,1942,D,2100
Bessie's Birthday Cake (Hard Version),5741,1942,C2,1700
Bessie's Birthday Cake (Easy Version),10075,1942,C1,1300
Bessie and MEX,12912,1942,B,1100
Farmer John's Challenge,16324,1942,A,800
Rudolf and Subway,3166,1941,G,2000
Rudolf and Imbalance,5446,1941,F,1800
Rudolf and k Bridges,8658,1941,E,1600
Rudolf and the Ball Game,17266,1941,D,1200
Rudolf and the Ugly String,30978,1941,C,900
Rudolf and 121,27604,1941,B,1000
Rudolf and the Ticket,40225,1941,A,800
Zig-zag,47,1938,M,3500
XOR Operations,256,1938,L,2800
Tree Quiz,543,1938,K,2400
There and Back Again,1141,1938,J,2100
Symmetric Boundary,55,1938,I,2800
Pho Restaurant,1924,1938,H,1600
Personality Test,892,1938,G,2300
Forming Groups,669,1938,F,2400
Duplicates,882,1938,E,2200
Bánh Bò,82,1938,D,3300
Bit Counting Sequence,1306,1938,C,1900
Attraction Score,170,1938,B,3000
Antiparticle Antiphysics,43,1938,A,3500
Binary Path,13770,1937,B,1300
Shuffle Party,22111,1937,A,800
Grand Finale: Circles,72,1936,F,3300
Yet Yet Another Permutation Problem,101,1936,E,3400
Bitwise Paradox,444,1936,D,3100
Pokémon Arena,1154,1936,C,2400
Pinball,2561,1936,B,2000
Bitwise Operation Wizard,6833,1936,A,1700
Andrey's Tree,411,1935,F,2800
Distance Learning Courses in MAC,1218,1935,E,2400
Exam in MAC,7615,1935,D,1800
Messenger in MAC,7459,1935,C,1800
Informatics in MAC,17205,1935,B,1200
Entertainment in MAC,26381,1935,A,800
Weird LCM Operations,197,1934,E,3000
XOR Break --- Game Version,1245,1934,D2,2400
XOR Break --- Solo Version,3206,1934,D1,2100
Find a Mine,6254,1934,C,1700
Yet Another Coin Problem,17427,1934,B,1200
Too Min Too Max,24137,1934,A,800
Turtle Magic: Royal Turtle Shell Pattern,908,1933,G,2300
Turtle Mission: Robot and the Earthquake,2289,1933,F,2100
Turtle vs. Rabbit Race: Optimal Trainings,10244,1933,E,1500
Turtle Tenacity: Continual Mods,18629,1933,D,1200
Turtle Fingers: Count the Values of k,21321,1933,C,1100
Turtle Math: Fast Three Task,30901,1933,B,800
Turtle Puzzle: Rearrange and Negate,36471,1933,A,800
Moving Platforms,925,1932,G,2300
Feed Cats,3610,1932,F,1900
Final Countdown,7327,1932,E,1600
Card Game,10481,1932,D,1400
LR-remainders,14475,1932,C,1400
Chaya Calendar,19298,1932,B,1100
Thorns and Coins,27789,1932,A,800
One-Dimensional Puzzle,2549,1931,G,2000
Chat Screenshots,7273,1931,F,1700
Anna and the Valentine's Day Gift,14086,1931,E,1400
Divisible Pairs,16795,1931,D,1300
Make Equal Again,27108,1931,C,1000
Make Equal,30818,1931,B,800
Recovering a Small String,34410,1931,A,800
Counting Is Fun,58,1930,I,3500
Interactive Mex Tree,137,1930,H,3300
Prefix Max Set Counting,315,1930,G,3100
Maximize the Difference,635,1930,F,2700
2..3...4.... Wonderful! Wonderful!,1035,1930,E,2400
Sum over all Substrings (Hard Version),2447,1930,D2,2100
Sum over all Substrings (Easy Version),3824,1930,D1,1800
Lexicographically Largest,6614,1930,C,1700
Permutation Printing,14186,1930,B,1000
Maximise The Score,17701,1930,A,800
Sasha and the Wedding Binary Search Tree,1675,1929,F,2300
Sasha and the Happy Tree Cutting,1558,1929,E,2300
Sasha and a Walk in the City,4334,1929,D,1900
Sasha and the Casino,13762,1929,C,1400
Sasha and the Drawing,24285,1929,B,800
Sasha and the Beautiful Array,29872,1929,A,800
Digital Patterns,221,1928,F,2900
Modular Sequence,1598,1928,E,2300
Lonely Mountain Dungeons,3909,1928,D,1900
Physical Education Lesson,7881,1928,C,1600
Equalize,15971,1928,B,1200
Rectangle Cutting,21695,1928,A,800
Paint Charges,1542,1927,G,2300
Microcycle,3986,1927,F,1900
Klever Permutation,12952,1927,E,1400
Find the Different Ones!,19172,1927,D,1300
Choose the Different Ones!,26352,1927,C,1000
Following the String,31252,1927,B,900
Make it White,40837,1927,A,800
Vlad and Trouble at MIT,3192,1926,G,1900
Vlad and Avoiding X,1561,1926,F,2200
Vlad and an Odd Ordering,10761,1926,E,1500
Vlad and Division,14336,1926,D,1300
Vlad and a Sum of Sum of Digits,24348,1926,C,1200
Vlad and Shapes,30762,1926,B,800
Vlad and the Best of Five,44060,1926,A,800
Good Trip,3342,1925,D,1900
A Balanced Problemset?,18810,1925,B,1200
We Got Everything Covered!,27740,1925,A,800
Anti-Proxy Attendance,138,1924,F,3500
Paper Cutting Again,407,1924,E,3100
Balanced Subsequences,803,1924,D,2700
Fractal Origami,1071,1924,C,2400
Space Harbour,2342,1924,B,2100
Did We Get Everything Covered?,12832,1924,A,1500
Shrink-Reverse,345,1923,F,2800
Count Paths,3366,1923,E,2000
Slimes,6179,1923,D,1800
Find B,13810,1923,C,1400
Monsters Attack!,16687,1923,B,1100
Moving Chips,23714,1923,A,800
Replace on Segment,1196,1922,F,2500
Increasing Subsequences,7256,1922,E,1800
Berserk Monsters,5356,1922,D,1900
Closest Cities,17321,1922,C,1300
Forming Triangles,19536,1922,B,1200
Tricky Template,26237,1922,A,800
Mischievous Shooter,1168,1921,G,2200
Sum of Progression,3575,1921,F,1900
Eat the Chip,9179,1921,E,1600
Very Different Array,20527,1921,D,1100
Sending Messages,27971,1921,C,900
Arranging Cats,32562,1921,B,800
Square,40950,1921,A,800
Smooth Sailing (Hard Version),425,1920,F2,3000
Smooth Sailing (Easy Version),904,1920,F1,2500
Counting Binary Strings,2444,1920,E,2100
Array Repetition,5250,1920,D,1900
Partitioning the Array,12295,1920,C,1600
Summation Game,19729,1920,B,1100
Satisfying Constraints,26885,1920,A,800
Tree Diameter,135,1919,H,2000
Tree LGM,172,1919,G,3500
Wine Factory (Hard Version),759,1919,F2,2800
Wine Factory (Easy Version),2065,1919,F1,2300
Counting Prefixes,796,1919,E,2600
01 Tree,3661,1919,D,2100
Grouping Increases,17403,1919,C,1400
Plus-Minus Split,29116,1919,B,800
Wallet Exchange,32214,1919,A,800
Permutation of Given,434,1918,G,2700
Caterpillar on a Tree,807,1918,F,2500
ace5 and Task Order,1614,1918,E,2200
Blocking Elements,4412,1918,D,1900
XOR-distance,13050,1918,C,1400
Minimize Inversions,22674,1918,B,900
Brick Wall,29232,1918,A,800
Construct Tree,917,1917,F,2500
Construct Matrix,1299,1917,E,2500
Yet Another Inversions Problem,1694,1917,D,2300
Watering an Array,9693,1917,C,1600
Erase First or Second Letter,20217,1917,B,1100
Least Product,24586,1917,A,800
Matrix Rank (Hard Version),509,1916,H2,2700
Matrix Rank (Easy Version),590,1916,H1,2700
Optimizations From Chelsu,140,1916,G,3500
Group Division,425,1916,F,2900
Happy Life in University,2130,1916,E,2300
Mathematical Problem,8083,1916,D,1700
Training Before the Olympiad,17058,1916,C,1200
Two Divisors,24307,1916,B,1000
2023,24936,1916,A,800
Bicycles,5657,1915,G,1800
Greetings,12233,1915,F,1500
Romantic Glasses,19387,1915,E,1300
Unnatural Language Processing,28543,1915,D,900
Can I Square?,39120,1915,C,800
Not Quite Latin Square,39741,1915,B,800
Odd One Out,51879,1915,A,800
Light Bulbs (Hard Version),1252,1914,G2,2300
Light Bulbs (Easy Version),1722,1914,G1,2100
Programming Competition,3796,1914,F,1900
Game with Marbles (Hard Version),11557,1914,E2,1400
Game with Marbles (Easy Version),11457,1914,E1,1400
Three Activities,19180,1914,D,1200
Quests,21729,1914,C,1100
Preparing for the Contest,29134,1914,B,800
Problemsolving Log,30377,1914,A,800
Palindromic Problem,295,1913,F,2800
Matrix Problem,942,1913,E,2400
Array Collapse,2809,1913,D,2100
Game with Multiset,14110,1913,C,1300
Swap and Delete,23239,1913,B,1000
Rating Increase,22735,1913,A,800
LOL Lovers,6539,1912,L,800
Kim's Quest,2152,1912,K,1800
Joy of Pokémon Observation,531,1912,J,2300
Innovative Washing Machine,55,1912,I,3300
Hypercatapult Commute,385,1912,H,2400
Great City Saint Petersburg,431,1912,G,2400
Fugitive Frenzy,109,1912,F,3100
Evaluate It and Back Again,807,1912,E,2200
Divisibility Test,1363,1912,D,1900
Cactus Transformation,52,1912,C,3300
Blueprint for Seating,957,1912,B,2100
Accumulator Apex,1933,1912,A,1900
Two Colors,47,1910,J,2900
Inverse Problem,46,1910,I,2700
Sum of Digits of Sums,83,1910,H,2400
Pool Records,56,1910,G,2700
Build Railway Stations,167,1910,F,2000
Maximum Sum Subarrays,183,1910,E,2100
Remove and Add,326,1910,D,1800
Poisonous Swamp,605,1910,C,1600
Security Guard,626,1910,B,1600
Username,1652,1910,A,1100
Short Permutation Problem,103,1909,I,1900
Parallel Swaps Sort,66,1909,H,3500
Pumping Lemma,353,1909,G,3000
Small Permutation Problem (Hard Version),855,1909,F2,2500
Small Permutation Problem (Easy Version),1674,1909,F1,2200
Multiple Lamps,1287,1909,E,2400
Split Plus K,4108,1909,D,1900
Heavy Intervals,10342,1909,C,1400
Make Almost Equal With Mod,14862,1909,B,1200
Distinct Buttons,15924,1909,A,800
Lights,1801,1907,G,2200
Shift and Reverse,4556,1907,F,1800
Good Triples,9271,1907,E,1600
Jumping Through Segments,12582,1907,D,1400
Removal of Unattractive Pairs,18969,1907,C,1200
YetnotherrokenKeoard,24026,1907,B,1000
Rook,34932,1907,A,800
Triangle Construction,2423,1906,M,1700
Palindromic Parentheses,445,1906,L,2500
Deck-Building Game,270,1906,K,2500
Count BFS Graph,681,1906,J,2100
Contingency Plan 2,130,1906,I,2900
Twin Friends,627,1906,H,2200
Grid Game 2,155,1906,G,2900
Maximize The Value,965,1906,F,2100
Merge Not Sort,1363,1906,E,1900
Spaceship Exploration,95,1906,D,2800
Cursed Game,165,1906,C,3000
Button Pressing,467,1906,B,2600
Easy As ABC,3696,1906,A,1000
Field Should Not Be Empty,479,1905,F,2600
One-X,883,1905,E,2400
Cyclic MEX,3590,1905,D,2000
Largest Subsequence,11384,1905,C,1400
Begginer's Zelda,15595,1905,B,1100
Constructive Problems,22177,1905,A,800
Beautiful Tree,316,1904,F,2800
Tree Queries,858,1904,E,2500
Set To Max (Hard Version),3998,1904,D2,1800
Set To Max (Easy Version),6037,1904,D1,1600
Array Game,11270,1904,C,1400
Collecting Game,13636,1904,B,1100
Forked!,17142,1904,A,900
Babysitting,573,1903,F,2500
Geo Game,1860,1903,E,2000
Maximum And Queries (hard version),726,1903,D2,2500
Maximum And Queries (easy version),5274,1903,D1,1700
Theofanis' Nightmare,10808,1903,C,1400
StORage room,11801,1903,B,1200
Halloumi Boxes,26462,1903,A,800
Trees and XOR Queries Again,926,1902,F,2400
Collapsing Strings,3999,1902,E,1900
Robot Queries,3798,1902,D,1900
Insert and Equalize,12746,1902,C,1300
Getting Points,13649,1902,B,1100
Binary Imbalance,20155,1902,A,800
Landscaping,146,1901,F,2900
Compressed Tree,1417,1901,E,2200
Yet Another Monster Fight,6403,1901,D,1700
"Add, Divide and Floor",11074,1901,C,1400
Chip and Ribbon,14323,1901,B,1100
Line Trip,26982,1901,A,800
Local Deletions,266,1900,F,2800
Transitive Graph,1881,1900,E,2100
Small GCD,3855,1900,D,2000
Anji's Binary Tree,10770,1900,C,1300
Laura and Operations,16475,1900,B,900
Cover in Water,23458,1900,A,800
Unusual Entertainment,2986,1899,G,1900
Alex's whims,6952,1899,F,1600
Queue Sort,14407,1899,E,1300
Yarik and Musical Notes,12657,1899,D,1300
Yarik and Array,19007,1899,C,1100
250 Thousand Tons of TNT,18902,1899,B,1100
Game with Integers,40139,1899,A,800
Vova Escapes the Matrix,752,1898,F,2600
Sofia and Strings,2116,1898,E,2200
Absolute Beauty,4901,1898,D,1900
Colorful Grid,5095,1898,C,1700
Milena and Admirer,10903,1898,B,1500
Milica and String,15364,1898,A,800
Cyclic Hamming (Hard Version),98,1896,H2,3500
Cyclic Hamming (Easy Version),87,1896,H1,3400
Pepe Racing,316,1896,G,3200
Bracket Xoring,669,1896,F,2600
Permutation Sorting,2078,1896,E,2100
Ones and Twos,5367,1896,D,1700
Matching Arrays,8951,1896,C,1400
AB Flipping,13858,1896,B,900
Jagged Swaps,20134,1896,A,800
"Two Characters, Two Colors",180,1895,G,3100
Fancy Arrays,656,1895,F,2600
Infinite Card Game,1486,1895,E,2300
XOR Construction,5705,1895,D,1900
Torn Lucky Ticket,10404,1895,C,1400
Points and Minimum Distance,19922,1895,B,800
Treasure Chest,23765,1895,A,800
Two Out of Three,15095,1894,B,1000
Secret Sport,18393,1894,A,800
Cacti Symphony,184,1893,E,3500
Colorful Constructive,838,1893,D,2600
Freedom of Choice,2503,1893,C,2000
Neutral Tonality,8300,1893,B,1700
Anonymous Informant,11592,1893,A,1400
A Growing Tree,3475,1891,F,2000
Brukhovich and Exams,790,1891,E,2500
Suspicious logarithms,3787,1891,D,1900
Smilo and Monsters,11891,1891,C,1500
Deja Vu,16477,1891,B,1100
Sorting with Twos,18685,1891,A,800
Qingshan Loves Strings,16937,1890,B,800
Doremy's Paint 3,23182,1890,A,800
Doremy's Average Tree,70,1889,F,3500
Doremy's Swapping Trees,103,1889,E,3500
Game of Stacks,538,1889,D,3000
Doremy's Drying Plan (Hard Version),911,1889,C2,2600
Doremy's Drying Plan (Easy Version),3089,1889,C1,2000
Doremy's Connecting Plan,6937,1889,B,1700
Qingshan Loves Strings 2,12382,1889,A,1300
Minimum Segments,119,1887,F,3400
Good Colorings,339,1887,E,3100
Split,834,1887,D,2700
Minimum Array,1614,1887,C,2400
Time Travel,2762,1887,B,1900
Diamond Theft,162,1886,F,3300
I Wanna be the Team Leader,1367,1886,E,2400
Monocarp and the Set,3392,1886,D,2100
Decreasing String,10616,1886,C,1600
Fear of the Dark,15484,1886,B,1200
Sum of Three,24950,1886,A,800
Hard Design,270,1884,E,2800
Counting Rhyme,2955,1884,D,2100
Medium Design,5669,1884,C,1700
Haunted House,12052,1884,B,1100
Simple Design,16800,1884,A,800
Dances (Hard Version),5035,1883,G2,1900
Dances (Easy version),9743,1883,G1,1400
You Are So Beautiful,8588,1883,F,1400
Look Back,7404,1883,E,1700
In Love,10530,1883,D,1500
Raspberries,24159,1883,C,1000
Chemistry,28523,1883,B,900
Morning,24606,1883,A,800
Two Permutations (Hard Version),287,1882,E2,3100
Two Permutations (Easy Version),977,1882,E1,2400
Tree XOR,5120,1882,D,1900
Card Game,11659,1882,C,1500
Sets and Union,14753,1882,B,1300
Increasing Sequence,24732,1882,A,800
Anya and the Mysterious String,2222,1881,G,2000
Minimum Maximum Distance,6260,1881,F,1700
Block Sequence,12412,1881,E,1500
Divide and Equalize,15416,1881,D,1300
Perfect Square,16264,1881,C,1200
Three Threadlets,24295,1881,B,900
Don't Try to Count,28723,1881,A,800
Last Man Standing,477,1879,F,2800
Interactive Game with Coloring,1203,1879,E,2400
Sum of XOR Functions,6895,1879,D,1700
Make it Alternating,15564,1879,C,1300
Chips on the Board,21628,1879,B,900
Rigged!,22580,1879,A,800
wxhtzdy ORO Tree,1121,1878,G,2300
Vasilije Loves Number Theory,3899,1878,F,1900
Iva & Pav,11675,1878,E,1400
Reverse Madness,7850,1878,D,1600
Vasilije in Cacak,29846,1878,C,900
Aleksa and Stack,30485,1878,B,800
How Much Does Daytona Cost?,40535,1878,A,800
Joyboard,10367,1877,C,1200
Goals of Victory,20191,1877,A,800
Clubstep,118,1876,G,3500
Indefinite Clownfish,121,1876,F,3500
Ball-Stackable,259,1876,E,3300
Lexichromatography,831,1876,D,2500
Autosynthesis,2180,1876,C,2100
Effects of Anti Pimples,7762,1876,B,1500
Helmets in Night Light,15691,1876,A,1000
Jellyfish and Mex,7905,1875,D,1600
Jellyfish and Green Apple,11114,1875,C,1400
Jellyfish and Undertale,22909,1875,A,900
Jellyfish and Inscryption,79,1874,G,3500
Jellyfish and OEIS,191,1874,F,3500
Jellyfish and Hack,285,1874,E,3000
Jellyfish and Miku,673,1874,D,2800
Jellyfish and EVA,1541,1874,C,2300
Jellyfish and Math,1090,1874,B,2400
Jellyfish and Game,16284,1874,A,1200
Mad City,6825,1873,H,1700
ABBC or BACB,12252,1873,G,1500
Money Trees,14490,1873,F,1300
Building an Aquarium,24182,1873,E,1100
1D Eraser,33583,1873,D,800
Target Practice,36993,1873,C,800
Good Kid,45906,1873,B,800
Short Sort,50527,1873,A,800
Replace With Product,4076,1872,G,2000
Selling a Menagerie,5967,1872,F,1800
Data Structures Fan,12525,1872,E,1500
Plus Minus Permutation,21883,1872,D,1200
Non-coprime Split,22520,1872,C,1100
The Corridor or There and Back Again,27099,1872,B,900
Two Vessels,37979,1872,A,800
Standard Graph Problem,79,1870,H,3500
MEXanization,205,1870,G,3300
Lazy Numbers,467,1870,F,2900
Another MEX Problem,2247,1870,E,2300
Prefix Purchase,6579,1870,D,1800
Colorful Table,11008,1870,C,1300
Friendly Arrays,13675,1870,B,1200
MEXanized Array,18699,1870,A,800
2D Traveling,15015,1869,B,1100
Make It Zero,19581,1869,A,900
LIS?,70,1868,F,3500
Min-Sum-Max,75,1868,E,3500
Flower-like Pseudotree,255,1868,D,3000
Travel Plan,1104,1868,C,2400
Candy Party (Hard Version),2316,1868,B2,2100
Candy Party (Easy Version),6645,1868,B1,1700
Fill in the Matrix,11491,1868,A,1300
Most Different Tree,404,1867,F,2700
Salyg1n and Array (hard version),3045,1867,E2,2200
Salyg1n and Array (simple version),3588,1867,E1,2000
Cyclic Operations,5495,1867,D,1800
Salyg1n and the MEX Game,10807,1867,C,1300
XOR Palindromes,16222,1867,B,1100
"green_gold_dog, array and permutation",19535,1867,A,800
Mighty Rock Tower,701,1866,M,2400
Lihmuf Balling,663,1866,L,2400
Keen Tree Calculation,416,1866,K,2500
Jackets and Packets,271,1866,J,2800
Imagination Castle,683,1866,I,2300
Happy Sets,1554,1866,H,2100
Grouped Carriages,1545,1866,G,2100
Freak Joker Process,123,1866,F,3100
Elevators of Tamem,279,1866,E,2700
Digital Wallet,1219,1866,D,2300
Completely Searching for Inversions,2913,1866,C,1900
Battling with Numbers,7371,1866,B,1400
Ambitious Kid,19254,1866,A,800
Future Dominators,85,1864,I,3500
Asterism Stream,274,1864,H,3200
Magic Square,255,1864,G,3100
